ObjectNumber,Metadata_Plate,Metadata_Site,Metadata_Tags,Metadata_Well,Category,AreaShape_Area,Intensity_IntegratedIntensity_OrigAGP,Granularity_10_OrigMito
31,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,43151,220.63159005553464,1.7766540129078574
32,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,23473,72.7388879682403,0.1334488999724443
33,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,22228,86.55741304391995,0.0
34,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,9993,41.41359638865106,2.501434899679542
35,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,27180,103.35887802485377,0.4846092721768431
36,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,26040,106.97531216521747,0.7976044520538237
37,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,34587,103.4391701943241,1.0392965128756624
38,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,21066,73.90005406201817,1.2224350710813532
39,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,27191,87.44481632579118,2.412174271282885e-05
40,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,39069,116.76437073317356,2.904362509135054
41,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,41936,148.35266780038364,1.461378679691532
42,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,284073,1276.725250962656,0.8651973508454068
43,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,13174,38.44980557914823,0.932266949888988
44,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,30140,113.42784893419594,0.3775271069907123
45,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,44092,144.49361500889063,0.0
46,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,20178,64.3608762701042,1.395140991933322
47,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,2766,19.69849729235284,1.0097669435200405
48,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,13015,43.584573393454775,1.4748027746687808
49,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,39362,142.19420258048922,1.6670396227841655
50,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,8874,27.12353708106093,1.61459676514397
51,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,127128,332.2382702352479,0.8668236098261244
52,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,9359,32.4267340763472,1.3291051670383305
53,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,12881,51.27241998678073,0.0
1,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,19102,66.05372757394798,0.8706630670484385
2,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,20751,57.11764719383791,1.607182315912197
3,MIG-Exp03-CP-40X-bin1X1,7,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,L08,Untreated,43387,159.11731310817413,0.0580062730245798
